,평점,일시,감상평
198,10,2014.04.13 00:01,"언니가 괴물 영화 팬이라서 클로버 필드,미믹1,프릭스, 플라이,쥬라기 공원 다 봣는데 고질라가 젤 잼썻어여 ><~♥♥"
199,10,2014.04.02 01:01,걍 괴수영화 최고봉이네요
200,10,2014.03.25 10:59,더이상의 스케일은 없다
201,10,2014.03.01 12:47,추억의 영화...지금 봐도 정말  재밌다 ㅠㅠ
202,10,2014.01.05 14:42,투모로우도재미있게봤는데 이것도롤랜드에머리히 작품인가
203,10,2013.12.24 09:40,지금봐도 오락영화로 손색없던데..특히 헬기랑 고질라 숨바꼭질은 당시 초딩때 극장에서 손에 땀을 쥐면서 봣다~~
204,8,2013.07.10 21:35,코미디인 거 같기도....고질라 CG가 뛰어나다.마지막최후 땜에 2점 깎이네요
205,9,2013.05.09 16:19,때론 단순하고 쉬운게 매력적일때가 있다
206,10,2013.03.16 18:38,한마디만하겠으   짱!
207,9,2013.01.30 00:08,화끈한 괴수영화
208,9,2013.01.29 13:10,지금봐도 재미짐
209,10,2013.01.16 20:38,몇번을 봐도 안질린다 감독님 작품중에서도 개인적으로 좋아하는 영화도많고 ㅎㅎ 롤랜드 팬됫수~
210,9,2012.11.15 18:23,내 생에 첫사회생활때 첨극장가서 봤던 영화
211,9,2012.11.10 17:50,고증은 부족하나 오락으로 즐기기엔 손색없는 영화
212,7,2012.10.06 23:37,재밌긴한데 후반에 갈수록 지루해짐.
213,10,2012.09.30 06:26,일단 출연배우들이 훌륭하고 쥬라기공원보단 못하지만그냥 보면 좋은 재밋는영화  전이거 6번째보는데 앞으로도계속볼듯
214,10,2012.07.19 23:16,재미있었습니다....
215,10,2012.07.06 14:05,말이 필요없는 괴수영화의 걸작!
216,10,2012.07.05 20:44,장 르노형님이라 9점 먹고 들어감.
217,9,2012.05.22 01:25,난 어릴때나지금이나 재밋게 밧음^^
218,10,2012.04.26 23:41,너무나 멋지게 봤던 영화라 9점인줄 알았는데......^^ 아쉽네요. 수작인데.
